corpus,test_id,test_name,d,p,n_X,n_Y,significant
social_media,T1,"Male-coded vs Female-coded
Occupations",1.405,0.0003,8,8,True
social_media,T2,"Neutral/Professional vs Female-coded
Occupations",1.371,0.0008,8,8,True
social_media,T3,"Neutral/Professional vs Male-coded
Occupations",-0.208,0.6551,8,8,False
encyclopedic,T1,"Male-coded vs Female-coded
Occupations",0.252,0.3147,8,8,False
encyclopedic,T2,"Neutral/Professional vs Female-coded
Occupations",-0.691,0.904,8,8,False
encyclopedic,T3,"Neutral/Professional vs Male-coded
Occupations",-0.879,0.9581,8,8,False
news,T1,"Male-coded vs Female-coded
Occupations",-0.166,0.6058,8,8,False
news,T2,"Neutral/Professional vs Female-coded
Occupations",-0.081,0.5636,8,8,False
news,T3,"Neutral/Professional vs Male-coded
Occupations",0.036,0.4763,8,8,False
crime,T1,"Male-coded vs Female-coded
Occupations",0.403,0.2318,7,8,False
crime,T2,"Neutral/Professional vs Female-coded
Occupations",0.526,0.1677,8,8,False
crime,T3,"Neutral/Professional vs Male-coded
Occupations",0.098,0.4239,8,7,False
politics,T1,"Male-coded vs Female-coded
Occupations",0.103,0.4617,7,4,False
politics,T2,"Neutral/Professional vs Female-coded
Occupations",-0.098,0.5449,8,4,False
politics,T3,"Neutral/Professional vs Male-coded
Occupations",-0.22,0.63,8,7,False
sports,T1,"Male-coded vs Female-coded
Occupations",0.052,0.4818,4,5,False
sports,T2,"Neutral/Professional vs Female-coded
Occupations",0.879,0.0786,7,5,False
sports,T3,"Neutral/Professional vs Male-coded
Occupations",0.751,0.1367,7,4,False
entertainment,T1,"Male-coded vs Female-coded
Occupations",0.863,0.0491,8,8,True
entertainment,T2,"Neutral/Professional vs Female-coded
Occupations",0.196,0.3609,7,8,False
entertainment,T3,"Neutral/Professional vs Male-coded
Occupations",-0.558,0.8408,7,8,False
